Time resolution is 1 ps
Current   879 Previous  1050 OK 1
Current  1050 Previous  1057 OK 1
Current  1057 Previous  1128 OK 1
Current  1128 Previous  1441 OK 1
Current  1441 Previous  1654 OK 1
Current  1654 Previous  1717 OK 1
Current  1717 Previous  1981 OK 1
Current  1981 Previous  2033 OK 1
Current  2033 Previous  2240 OK 1
Current  2240 Previous  2629 OK 1
Current  2629 Previous  2750 OK 1
Current  2750 Previous  3068 OK 1
Current  3068 Previous  3280 OK 1
Current  3280 Previous  3597 OK 1
Current  3597 Previous  3675 OK 1
Current  3675 Previous  4034 OK 1
Current  4034 Previous  4348 OK 1
Current  4348 Previous  4376 OK 1
Current  4376 Previous  4663 OK 1
Current  4663 Previous  4898 OK 1
Current  4898 Previous  5229 OK 1
Current  5229 Previous  5291 OK 1
Current  5291 Previous  5491 OK 1
Current  5491 Previous  5698 OK 1
Current  5698 Previous  5769 OK 1
Current  5769 Previous  5831 OK 1
Current  5831 Previous  5941 OK 1
Current  5941 Previous  6074 OK 1
Current  6074 Previous  6091 OK 1
Current  6091 Previous  6511 OK 1
Current  6511 Previous  6541 OK 1
Current  6541 Previous  7489 OK 1
Current  7489 Previous  7997 OK 1
Current  7997 Previous  8241 OK 1
Current  8241 Previous  8536 OK 1
Current  8536 Previous  8962 OK 1
Current  8962 Previous  8971 OK 1
Current  8971 Previous  9309 OK 1
Current  9309 Previous  9421 OK 1
Current  9421 Previous  9450 OK 1
Current  9450 Previous 10147 OK 1
Current 10147 Previous 10419 OK 1
Current 10419 Previous 10689 OK 1
Current 10689 Previous 10940 OK 1
Current 10940 Previous 11079 OK 1
Current 11079 Previous 11192 OK 1
Current 11192 Previous 11949 OK 1
Current 11949 Previous 12481 OK 1
Current 12481 Previous 12596 OK 1
Current 12596 Previous 12743 OK 1
Current 12743 Previous 12805 OK 1
Current 12805 Previous 13099 OK 1
Current 13099 Previous 13370 OK 1
Current 13370 Previous 14324 OK 1
Current 14324 Previous 14847 OK 1
Current 14847 Previous 15368 OK 1
Current 15368 Previous 16226 OK 1
Current 16226 Previous 16273 OK 1
Current 16273 Previous 16289 OK 1
Current 16289 Previous 16461 OK 1
Current 16461 Previous 16462 OK 1
Current 16462 Previous 16770 OK 1
Current 16770 Previous 17090 OK 1
Current 17090 Previous 17663 OK 1
Current 17663 Previous 17826 OK 1
Current 17826 Previous 17941 OK 1
Current 17941 Previous 17983 OK 1
Current 17983 Previous 18413 OK 1
Current 18413 Previous 18672 OK 1
Current 18672 Previous 18916 OK 1
Current 18916 Previous 19003 OK 1
Current 19003 Previous 19137 OK 1
Current 19137 Previous 19376 OK 1
Current 19376 Previous 19454 OK 1
Current 19454 Previous 19624 OK 1
Current 19624 Previous 20113 OK 1
Current 20113 Previous 20263 OK 1
Current 20263 Previous 20448 OK 1
Current 20448 Previous 20541 OK 1
Current 20541 Previous 20745 OK 1
Current 20745 Previous 21306 OK 1
Current 21306 Previous 21379 OK 1
Current 21379 Previous 21461 OK 1
Current 21461 Previous 21627 OK 1
Current 21627 Previous 21817 OK 1
Current 21817 Previous 22428 OK 1
Current 22428 Previous 23115 OK 1
Current 23115 Previous 23433 OK 1
Current 23433 Previous 23765 OK 1
Current 23765 Previous 23861 OK 1
Current 23861 Previous 24212 OK 1
Current 24212 Previous 24605 OK 1
Current 24605 Previous 25130 OK 1
Current 25130 Previous 25622 OK 1
Current 25622 Previous 25917 OK 1
Current 25917 Previous 26181 OK 1
Current 26181 Previous 26240 OK 1
Current 26240 Previous 26884 OK 1
Current 26884 Previous 27413 OK 1
Current 27413 Previous 27728 OK 1
Current 27728 Previous 27857 OK 1
Current 27857 Previous 28223 OK 1
Current 28223 Previous 28379 OK 1
Current 28379 Previous 28836 OK 1
Current 28836 Previous 28865 OK 1
Current 28865 Previous 29077 OK 1
Current 29077 Previous 29856 OK 1
Current 29856 Previous 29914 OK 1
Current 29914 Previous 29920 OK 1
Current 29920 Previous 30225 OK 1
Current 30225 Previous 30585 OK 1
Current 30585 Previous 30919 OK 1
Current 30919 Previous 31140 OK 1
Current 31140 Previous 31790 OK 1
Current 31790 Previous 32539 OK 1
Current 32539 Previous 32941 OK 1
Current 32941 Previous 33154 OK 1
Current 33154 Previous 33163 OK 1
Current 33163 Previous 33408 OK 1
Current 33408 Previous 33454 OK 1
Current 33454 Previous 34073 OK 1
Current 34073 Previous 34106 OK 1
Current 34106 Previous 34488 OK 1
Current 34488 Previous 34512 OK 1
Current 34512 Previous 34844 OK 1
Current 34844 Previous 34864 OK 1
Current 34864 Previous 34869 OK 1
Current 34869 Previous 34947 OK 1
Current 34947 Previous 35042 OK 1
Current 35042 Previous 35348 OK 1
Current 35348 Previous 35463 OK 1
Current 35463 Previous 35784 OK 1
Current 35784 Previous 36189 OK 1
Current 36189 Previous 36644 OK 1
Current 36644 Previous 36717 OK 1
Current 36717 Previous 36846 OK 1
Current 36846 Previous 36989 OK 1
Current 36989 Previous 37039 OK 1
Current 37039 Previous 37202 OK 1
Current 37202 Previous 37299 OK 1
Current 37299 Previous 37326 OK 1
Current 37326 Previous 37707 OK 1
Current 37707 Previous 37891 OK 1
Current 37891 Previous 37944 OK 1
Current 37944 Previous 38021 OK 1
Current 38021 Previous 38645 OK 1
Current 38645 Previous 39834 OK 1
Current 39834 Previous 39890 OK 1
Current 39890 Previous 39893 OK 1
Current 39893 Previous 39914 OK 1
Current 39914 Previous 40324 OK 1
Current 40324 Previous 40869 OK 1
Current 40869 Previous 41115 OK 1
Current 41115 Previous 41290 OK 1
Current 41290 Previous 41938 OK 1
Current 41938 Previous 42677 OK 1
Current 42677 Previous 42867 OK 1
Current 42867 Previous 43431 OK 1
Current 43431 Previous 43558 OK 1
Current 43558 Previous 43986 OK 1
Current 43986 Previous 44065 OK 1
Current 44065 Previous 44498 OK 1
Current 44498 Previous 44573 OK 1
Current 44573 Previous 44718 OK 1
Current 44718 Previous 45096 OK 1
Current 45096 Previous 45384 OK 1
Current 45384 Previous 45575 OK 1
Current 45575 Previous 46256 OK 1
Current 46256 Previous 46268 OK 1
Current 46268 Previous 46467 OK 1
Current 46467 Previous 46848 OK 1
Current 46848 Previous 46880 OK 1
Current 46880 Previous 47349 OK 1
Current 47349 Previous 47394 OK 1
Current 47394 Previous 47619 OK 1
Current 47619 Previous 47668 OK 1
Current 47668 Previous 47673 OK 1
Current 47673 Previous 48553 OK 1
Current 48553 Previous 48744 OK 1
Current 48744 Previous 48760 OK 1
Current 48760 Previous 48856 OK 1
Current 48856 Previous 49368 OK 1
Current 49368 Previous 49618 OK 1
Current 49618 Previous 49837 OK 1
Current 49837 Previous 50408 OK 1
Current 50408 Previous 50477 OK 1
Current 50477 Previous 50592 OK 1
Current 50592 Previous 50677 OK 1
Current 50677 Previous 51450 OK 1
Current 51450 Previous 52216 OK 1
Current 52216 Previous 52354 OK 1
Current 52354 Previous 53102 OK 1
Current 53102 Previous 53432 OK 1
Current 53432 Previous 53895 OK 1
Current 53895 Previous 54290 OK 1
Current 54290 Previous 54516 OK 1
Current 54516 Previous 54683 OK 1
Current 54683 Previous 54833 OK 1
Current 54833 Previous 54947 OK 1
Current 54947 Previous 54990 OK 1
Current 54990 Previous 55049 OK 1
Current 55049 Previous 55228 OK 1
Current 55228 Previous 55293 OK 1
Current 55293 Previous 55573 OK 1
Current 55573 Previous 55625 OK 1
Current 55625 Previous 55668 OK 1
Current 55668 Previous 55799 OK 1
Current 55799 Previous 56066 OK 1
Current 56066 Previous 56214 OK 1
Current 56214 Previous 56366 OK 1
Current 56366 Previous 56721 OK 1
Current 56721 Previous 57032 OK 1
Current 57032 Previous 57598 OK 1
Current 57598 Previous 57710 OK 1
Current 57710 Previous 57712 OK 1
Current 57712 Previous 57936 OK 1
Current 57936 Previous 58103 OK 1
Current 58103 Previous 58788 OK 1
Current 58788 Previous 58933 OK 1
Current 58933 Previous 59150 OK 1
Current 59150 Previous 59428 OK 1
Current 59428 Previous 59723 OK 1
Current 59723 Previous 59770 OK 1
Current 59770 Previous 59890 OK 1
Current 59890 Previous 60012 OK 1
Current 60012 Previous 60050 OK 1
Current 60050 Previous 60313 OK 1
Current 60313 Previous 60392 OK 1
Current 60392 Previous 60613 OK 1
Current 60613 Previous 60629 OK 1
Current 60629 Previous 60646 OK 1
Current 60646 Previous 60769 OK 1
Current 60769 Previous 61055 OK 1
Current 61055 Previous 61138 OK 1
Current 61138 Previous 61289 OK 1
Current 61289 Previous 61609 OK 1
Current 61609 Previous 61907 OK 1
Current 61907 Previous 61979 OK 1
Current 61979 Previous 62328 OK 1
Current 62328 Previous 62562 OK 1
Current 62562 Previous 62737 OK 1
Current 62737 Previous 62796 OK 1
Current 62796 Previous 62948 OK 1
Current 62948 Previous 62960 OK 1
Current 62960 Previous 63046 OK 1
Current 63046 Previous 63153 OK 1
Current 63153 Previous 63274 OK 1
Current 63274 Previous 63767 OK 1
Current 63767 Previous 63769 OK 1
Current 63769 Previous 63837 OK 1
Current 63837 Previous 64134 OK 1
Current 64134 Previous 64345 OK 1
Current 64345 Previous 64701 OK 1
Current 64701 Previous 64828 OK 1
TESTBENCH PASSES
$finish called at time : 341735 ns : File "C:/Users/Evan/Documents/S24/5724/ECE5724/Homework1-2024/SSC_Proj/SSC_Proj.srcs/sim_1/imports/Homework1-2024/ssc_tb.sv" Line 59
